Ticker,Horizon,Date,Current Price,Forecast,Lower 95% CI,Upper 95% CI,Expected Return (%)
AAPL,1-Month,2026-03-26,273.44,271.51,241.03,301.98,-0.71
AAPL,3-Month,2026-05-25,273.44,271.5,221.45,321.55,-0.71
AAPL,6-Month,2026-08-20,273.44,271.5,201.72,341.28,-0.71
ABBV,1-Month,2026-03-26,230.66,230.87,201.55,260.19,0.09
ABBV,3-Month,2026-05-25,230.66,230.87,179.55,282.19,0.09
ABBV,6-Month,2026-08-20,230.66,230.87,158.1,303.64,0.09
AMD,1-Month,2026-03-26,212.28,211.84,160.33,263.35,-0.21
AMD,3-Month,2026-05-25,212.28,211.85,123.16,300.54,-0.2
AMD,6-Month,2026-08-20,212.28,211.85,86.6,337.09,-0.2
AMZN,1-Month,2026-03-26,210.55,210.5,174.74,246.26,-0.03
AMZN,3-Month,2026-05-25,210.55,210.5,148.57,272.43,-0.03
AMZN,6-Month,2026-08-20,210.55,210.5,122.93,298.07,-0.03
BA,1-Month,2026-03-26,230.17,230.09,191.78,268.39,-0.04
BA,3-Month,2026-05-25,230.17,230.09,163.45,296.73,-0.04
BA,6-Month,2026-08-20,230.17,230.09,135.75,324.43,-0.04
CRM,1-Month,2026-03-26,189.62,189.47,139.82,239.12,-0.08
CRM,3-Month,2026-05-25,189.62,189.47,104.33,274.61,-0.08
CRM,6-Month,2026-08-20,189.62,189.47,69.37,309.57,-0.08
CVX,1-Month,2026-03-26,183.15,183.04,163.02,203.07,-0.06
CVX,3-Month,2026-05-25,183.15,183.04,148.05,218.04,-0.06
CVX,6-Month,2026-08-20,183.15,183.04,133.44,232.64,-0.06
DIS,1-Month,2026-03-26,105.14,104.99,87.68,122.31,-0.14
DIS,3-Month,2026-05-25,105.14,104.99,74.27,135.72,-0.14
DIS,6-Month,2026-08-20,105.14,104.99,61.28,148.71,-0.14
GE,1-Month,2026-03-26,340.71,342.03,304.68,379.38,0.39
GE,3-Month,2026-05-25,340.71,342.03,276.9,407.16,0.39
GE,6-Month,2026-08-20,340.71,342.03,249.77,434.29,0.39
GOOGL,1-Month,2026-03-26,310.32,310.08,275.05,345.12,-0.07
GOOGL,3-Month,2026-05-25,310.32,310.08,249.28,370.88,-0.07
GOOGL,6-Month,2026-08-20,310.32,310.08,224.06,396.11,-0.07
GS,1-Month,2026-03-26,919.4,918.22,818.74,1017.69,-0.13
GS,3-Month,2026-05-25,919.4,918.22,743.07,1093.37,-0.13
GS,6-Month,2026-08-20,919.4,918.22,669.51,1166.93,-0.13
HD,1-Month,2026-03-26,371.42,371.51,324.64,418.39,0.03
HD,3-Month,2026-05-25,371.42,371.51,290.31,452.72,0.03
HD,6-Month,2026-08-20,371.42,371.51,256.67,486.36,0.03
INTC,1-Month,2026-03-26,45.88,45.78,34.91,56.64,-0.24
INTC,3-Month,2026-05-25,45.88,45.78,26.65,64.9,-0.24
INTC,6-Month,2026-08-20,45.88,45.78,18.63,72.92,-0.24
JNJ,1-Month,2026-03-26,243.96,253.89,236.12,271.66,4.07
JNJ,3-Month,2026-05-25,243.96,271.71,234.21,309.21,11.37
JNJ,6-Month,2026-08-20,243.96,294.63,228.48,360.78,20.77
JPM,1-Month,2026-03-26,301.68,302.1,268.47,335.74,0.14
JPM,3-Month,2026-05-25,301.68,302.1,243.96,360.25,0.14
JPM,6-Month,2026-08-20,301.68,302.1,219.92,384.29,0.14
KO,1-Month,2026-03-26,80.11,80.07,74.21,85.93,-0.05
KO,3-Month,2026-05-25,80.11,80.07,69.94,90.2,-0.05
KO,6-Month,2026-08-20,80.11,80.07,65.76,94.38,-0.05
LLY,1-Month,2026-03-26,1035.92,1030.86,859.79,1201.93,-0.49
LLY,3-Month,2026-05-25,1035.92,1032.24,737.01,1327.46,-0.36
LLY,6-Month,2026-08-20,1035.92,1033.27,616.13,1450.4,-0.26
MA,1-Month,2026-03-26,507.52,513.2,464.42,561.97,1.12
MA,3-Month,2026-05-25,507.52,513.2,433.85,592.54,1.12
MA,6-Month,2026-08-20,507.52,513.2,402.87,623.52,1.12
META,1-Month,2026-03-26,648.38,648.7,531.24,766.15,0.05
META,3-Month,2026-05-25,648.38,648.7,443.77,853.62,0.05
META,6-Month,2026-08-20,648.38,648.7,358.36,939.03,0.05
MRK,1-Month,2026-03-26,123.0,122.51,108.67,136.36,-0.4
MRK,3-Month,2026-05-25,123.0,122.51,99.27,145.75,-0.4
MRK,6-Month,2026-08-20,123.0,122.51,89.91,155.11,-0.4
MSFT,1-Month,2026-03-26,399.88,399.65,344.63,454.67,-0.06
MSFT,3-Month,2026-05-25,399.88,399.65,305.04,494.26,-0.06
MSFT,6-Month,2026-08-20,399.88,399.65,266.09,533.21,-0.06
NFLX,1-Month,2026-03-26,82.04,82.28,65.38,99.18,0.29
NFLX,3-Month,2026-05-25,82.04,82.28,52.83,111.72,0.29
NFLX,6-Month,2026-08-20,82.04,82.28,40.57,123.98,0.29
NVDA,1-Month,2026-03-26,195.66,194.65,163.98,225.31,-0.52
NVDA,3-Month,2026-05-25,195.66,194.65,142.46,246.83,-0.52
NVDA,6-Month,2026-08-20,195.66,194.65,121.18,268.11,-0.52
PEP,1-Month,2026-03-26,167.63,167.64,150.14,185.13,0.0
PEP,3-Month,2026-05-25,167.63,167.64,137.24,198.04,0.0
PEP,6-Month,2026-08-20,167.63,167.64,124.61,210.66,0.0
PG,1-Month,2026-03-26,162.93,162.8,148.74,176.85,-0.08
PG,3-Month,2026-05-25,162.93,162.8,138.67,186.92,-0.08
PG,6-Month,2026-08-20,162.93,162.8,128.76,196.83,-0.08
TSLA,1-Month,2026-03-26,415.3,414.92,311.34,518.51,-0.09
TSLA,3-Month,2026-05-25,415.3,414.93,231.73,598.13,-0.09
TSLA,6-Month,2026-08-20,415.3,414.93,154.5,675.35,-0.09
UNH,1-Month,2026-03-26,281.93,282.9,175.84,389.96,0.34
UNH,3-Month,2026-05-25,281.93,282.9,99.0,466.8,0.34
UNH,6-Month,2026-08-20,281.93,282.9,23.36,542.44,0.34
V,1-Month,2026-03-26,312.98,314.42,283.86,344.97,0.46
V,3-Month,2026-05-25,312.98,314.42,263.64,365.2,0.46
V,6-Month,2026-08-20,312.98,314.42,243.38,385.45,0.46
WMT,1-Month,2026-03-26,126.23,126.15,114.14,138.15,-0.07
WMT,3-Month,2026-05-25,126.23,126.16,105.53,146.79,-0.06
WMT,6-Month,2026-08-20,126.23,126.16,97.04,155.28,-0.06
XOM,1-Month,2026-03-26,147.51,147.57,133.53,161.61,0.04
XOM,3-Month,2026-05-25,147.51,147.57,123.64,171.51,0.04
XOM,6-Month,2026-08-20,147.51,147.57,113.86,181.29,0.04
